"I(lj1)_x","I(lj1)_y","I(lj2)_x","I(lj2)_y","I(lj21)_x","I(lj21)_y","I(lj22)_x","I(lj22)_y","I(lj23)_x","I(lj23)_y","I(lj24)_x","I(lj24)_y","I(lj25)_x","I(lj25)_y","I(lj3)_x","I(lj3)_y","I(lj4)_x","I(lj4)_y","I(lj5)_x","I(lj5)_y","I(lc)_x","I(lc)_y"
69.02470382,0.02584189668,69.02470382,0.008621485686,69.02470382,0.0378018356,69.02470382,0.02635268073,69.02470382,0.01961556593,69.02470382,0.01511005126,69.02470382,0.01120542993,69.02470382,-0.0006102318809,69.02470382,-0.004770696422,69.02470382,-0.005546330183,69.02470382,0.008,
69.22410755,0.03226670668,69.22410755,0.01224773142,69.22410755,0.04262485588,69.22410755,0.02904553532,69.22410755,0.02106576099,69.22410755,0.01588113366,69.22410755,0.0116144721,69.22410755,0.001296211954,69.22410755,-0.003787321855,69.22410755,-0.00503960029,69.22410755,0.008,
69.41463523,0.03947298488,69.41463523,0.01646752168,69.41463523,0.04791339755,69.41463523,0.03208004717,69.41463523,0.02271931215,69.41463523,0.01676463073,69.41463523,0.0120834929,69.41463523,0.003536629406,69.41463523,-0.002630900687,69.41463523,-0.004445758282,69.41463523,0.008,
69.60615986,0.04775020847,69.60615986,0.02157795158,69.60615986,0.05388469259,69.60615986,0.03563271153,69.60615986,0.02468630731,69.60615986,0.01782394213,69.60615986,0.01264767213,69.60615986,0.006291767183,69.60615986,-0.001203698341,69.60615986,-0.003713862549,69.60615986,0.008,
69.79890415,0.05693651027,69.79890415,0.02771454212,69.79890415,0.0604760867,69.79890415,0.03975213415,69.79890415,0.0270154559,69.79890415,0.01909241601,69.79890415,0.01332732087,69.79890415,0.009677230035,69.79890415,0.0005623386153,69.79890415,-0.002807362929,69.79890415,0.008,
69.9824614,0.06607970303,69.9824614,0.0345531697,69.9824614,0.06714624131,69.9824614,0.04419710403,69.9824614,0.02959387791,69.9824614,0.02051617977,69.9824614,0.01409658653,69.9824614,0.01357270252,69.9824614,0.002615739789,69.9824614,-0.00175000665,69.9824614,0.008,
70.16605921,0.07490992654,70.16605921,0.04236104646,70.16605921,0.07396097029,70.16605921,0.04914230651,70.16605921,0.03255320506,70.16605921,0.02217704259,70.16605921,0.01500339481,70.16605921,0.01822287356,70.16605921,0.005102697179,70.16605921,-0.000462470994,70.16605921,0.008,
70.35695264,0.08262101688,70.35695264,0.05136019127,70.35695264,0.08081302406,70.35695264,0.05476358085,70.35695264,0.0360565263,70.35695264,0.0241825044,70.35695264,0.01611262244,70.35695264,0.02395323818,70.35695264,0.008232556037,70.35695264,0.00117134651,70.35695264,0.008,
70.53820372,0.08731719536,70.53820372,0.06040950869,70.53820372,0.08664739112,70.53820372,0.06046315768,70.53820372,0.03979546339,70.53820372,0.02637219865,70.53820372,0.01734153146,70.53820372,0.0302961833,70.53820372,0.01179787779,70.53820372,0.003053211296,70.53820372,0.008,
70.7190096,0.0883336955,70.7190096,0.06935924258,70.7190096,0.09130627737,70.7190096,0.06635909056,70.7190096,0.04392224195,70.7190096,0.02885260181,70.7190096,0.01875558452,70.7190096,0.03750088582,70.7190096,0.01600681411,70.7190096,0.00530645702,70.7190096,0.008,
