"frequency";"r dbJPM";"i dbJPM"
4.60425e+09;-5.66414e-07;0
4.6044e+09;-5.67271e-07;0
4.60455e+09;-5.68132e-07;0
4.6047e+09;-5.68996e-07;0
4.60485e+09;-5.69862e-07;0
4.605e+09;-5.70732e-07;0
4.60515e+09;-5.71605e-07;0
4.6053e+09;-5.72481e-07;0
4.60545e+09;-5.7336e-07;0
4.6056e+09;-5.74242e-07;0
4.60575e+09;-5.75127e-07;0
4.6059e+09;-5.76015e-07;0
4.60605e+09;-5.76907e-07;0
4.6062e+09;-5.77801e-07;0
4.60635e+09;-5.78699e-07;0
4.6065e+09;-5.796e-07;0
4.60665e+09;-5.80504e-07;0
4.6068e+09;-5.81412e-07;0
4.60695e+09;-5.82322e-07;0
4.6071e+09;-5.83236e-07;0
4.60725e+09;-5.84154e-07;0
4.6074e+09;-5.85074e-07;0
4.60755e+09;-5.85998e-07;0
4.6077e+09;-5.86925e-07;0
4.60785e+09;-5.87856e-07;0
4.608e+09;-5.8879e-07;0
4.60815e+09;-5.89727e-07;0
4.6083e+09;-5.90668e-07;0
4.60845e+09;-5.91612e-07;0
4.6086e+09;-5.9256e-07;0
4.60875e+09;-5.93511e-07;0
4.6089e+09;-5.94466e-07;0
4.60905e+09;-5.95424e-07;0
4.6092e+09;-5.96385e-07;0
4.60935e+09;-5.97351e-07;0
4.6095e+09;-5.98319e-07;0
4.60965e+09;-5.99292e-07;0
4.6098e+09;-6.00268e-07;0
